reservation_id,vehicle_id,vehicle_type,request_timestamp,approval_timestamp,trip_start_timestamp,trip_end_timestamp,status,route_km,estimated_fuel_liters,actual_fuel_liters,fuel_price,passengers,load_kg,traffic_band,ac_used
FLT-RES-0019,FLT-V-019,Van,2026-08-04 14:00:00,2026-08-04 14:30:00,2026-08-04 15:30:00,2026-08-04 21:26:24,completed,370.1,34.79,42.37,12.5,11,190.0,Medium,0
FLT-RES-0020,FLT-V-020,Car,2026-08-04 16:00:00,2026-08-04 16:30:00,2026-08-04 17:30:00,2026-08-05 00:34:48,completed,270.5,17.31,24.73,12.5,4,311.0,High,1
FLT-RES-0021,FLT-V-001,Bus,2026-08-05 08:00:00,2026-08-05 08:30:00,2026-08-05 09:30:00,2026-08-05 14:46:54,completed,282.3,43.76,,12.5,10,618.4,High,1
FLT-RES-0022,FLT-V-002,Bus,2026-08-05 10:00:00,2026-08-05 10:30:00,2026-08-05 11:30:00,2026-08-05 21:23:36,completed,376.0,65.05,85.73,12.5,19,735.9,Medium,1
FLT-RES-0023,FLT-V-003,Car,2026-08-05 12:00:00,2026-08-05 12:30:00,2026-08-05 13:30:00,2026-08-05 16:41:06,completed,105.0,6.51,9.71,12.5,2,393.9,High,1
FLT-RES-0024,FLT-V-004,Van,2026-08-05 14:00:00,2026-08-05 14:30:00,2026-08-05 15:30:00,2026-08-05 17:32:48,completed,102.4,11.37,12.44,12.5,8,54.1,Low,1
FLT-RES-0025,FLT-V-005,Bus,2026-08-05 16:00:00,2026-08-05 16:30:00,2026-08-05 17:30:00,2026-08-06 00:56:12,completed,335.9,63.15,76.49,12.5,16,1011.0,Medium,0
FLT-RES-0026,FLT-V-006,Bus,2026-08-06 08:00:00,2026-08-06 08:30:00,2026-08-06 09:30:00,2026-08-06 21:12:18,completed,319.4,45.04,58.53,12.5,18,569.8,Low,1
FLT-RES-0027,FLT-V-007,Van,2026-08-06 10:00:00,2026-08-06 10:30:00,2026-08-06 11:30:00,2026-08-06 18:38:42,completed,337.6,32.75,43.07,12.5,4,449.6,Medium,1
FLT-RES-0028,FLT-V-008,Bus,2026-08-06 12:00:00,2026-08-06 12:30:00,2026-08-06 13:30:00,2026-08-06 14:54:06,completed,42.4,8.18,9.79,12.5,6,79.3,Medium,0
FLT-RES-0029,FLT-V-009,Car,2026-08-06 14:00:00,2026-08-06 14:30:00,2026-08-06 15:30:00,2026-08-06 20:44:48,completed,294.3,23.25,26.53,12.5,1,380.9,Low,0
FLT-RES-0030,FLT-V-010,Bus,2026-08-06 16:00:00,2026-08-06 16:30:00,2026-08-06 17:30:00,2026-08-07 04:33:36,completed,351.1,49.86,67.96,12.5,19,50.3,Medium,1
FLT-RES-0031,FLT-V-011,Bus,2026-08-07 08:00:00,2026-08-07 08:30:00,2026-08-07 09:30:00,2026-08-07 10:14:54,completed,35.7,5.5,7.61,12.5,14,990.4,Low,1
FLT-RES-0032,FLT-V-012,Van,2026-08-07 10:00:00,2026-08-07 10:30:00,2026-08-07 11:30:00,2026-08-07 16:05:24,completed,148.4,15.43,20.69,12.5,5,972.2,Low,1
FLT-RES-0033,FLT-V-013,Van,2026-08-07 12:00:00,2026-08-07 12:30:00,2026-08-07 13:30:00,2026-08-07 13:45:36,completed,9.5,1.14,1.69,12.5,12,458.9,High,1
FLT-RES-0034,FLT-V-014,Bus,2026-08-07 14:00:00,2026-08-07 14:30:00,2026-08-07 15:30:00,2026-08-07 21:21:36,completed,241.3,42.47,50.5,12.5,11,435.1,Medium,1
FLT-RES-0035,FLT-V-015,Car,2026-08-07 16:00:00,2026-08-07 16:30:00,2026-08-07 17:30:00,2026-08-08 02:44:42,completed,439.6,34.29,43.04,12.5,1,419.7,Medium,1
FLT-RES-0036,FLT-V-016,Van,2026-08-08 08:00:00,2026-08-08 08:30:00,2026-08-08 09:30:00,2026-08-08 15:24:54,completed,260.5,28.92,41.64,12.5,3,869.6,Medium,0
FLT-RES-0037,FLT-V-017,Car,2026-08-08 10:00:00,2026-08-08 10:30:00,2026-08-08 11:30:00,2026-08-08 18:30:54,completed,345.2,21.4,30.8,12.5,2,314.8,Medium,1
FLT-RES-0038,FLT-V-018,Bus,2026-08-08 12:00:00,2026-08-08 12:30:00,2026-08-08 13:30:00,2026-08-08 17:58:06,completed,122.8,24.07,30.84,12.5,18,108.6,Low,1
FLT-RES-0039,FLT-V-019,Van,2026-08-08 14:00:00,2026-08-08 14:30:00,2026-08-08 15:30:00,2026-08-08 19:46:36,completed,194.2,23.69,28.5,12.5,5,912.8,Low,0
FLT-RES-0040,FLT-V-020,Van,2026-08-08 16:00:00,2026-08-08 16:30:00,2026-08-08 17:30:00,2026-08-08 21:48:12,completed,199.8,24.58,29.01,12.5,12,368.1,Medium,0
FLT-RES-0041,FLT-V-001,Bus,2026-08-09 08:00:00,2026-08-09 08:30:00,2026-08-09 09:30:00,2026-08-09 11:31:06,completed,85.8,13.99,,12.5,16,1163.5,Medium,1
FLT-RES-0042,FLT-V-002,Van,2026-08-09 10:00:00,2026-08-09 10:30:00,2026-08-09 11:30:00,2026-08-09 12:50:48,completed,44.2,5.22,6.81,12.5,13,456.5,High,1
FLT-RES-0043,FLT-V-003,Van,2026-08-09 12:00:00,2026-08-09 12:30:00,2026-08-09 13:30:00,2026-08-09 22:04:36,completed,397.0,38.11,58.74,12.5,10,563.5,High,1
FLT-RES-0044,FLT-V-004,Car,2026-08-09 14:00:00,2026-08-09 14:30:00,2026-08-09 15:30:00,2026-08-09 19:50:42,completed,189.9,15.76,20.07,12.5,4,284.6,Medium,0
FLT-RES-0045,FLT-V-005,Car,2026-08-09 16:00:00,2026-08-09 16:30:00,2026-08-09 17:30:00,2026-08-10 02:26:00,completed,390.0,31.59,53.47,12.5,3,340.1,High,1
FLT-RES-0046,FLT-V-006,Car,2026-08-10 08:00:00,2026-08-10 08:30:00,2026-08-10 09:30:00,2026-08-10 18:14:42,completed,225.4,17.58,21.49,12.5,5,179.4,Low,0
FLT-RES-0047,FLT-V-007,Car,2026-08-10 10:00:00,2026-08-10 10:30:00,2026-08-10 11:30:00,2026-08-10 18:00:06,completed,384.0,26.11,38.97,12.5,4,573.4,High,0
FLT-RES-0048,FLT-V-008,Car,2026-08-10 12:00:00,2026-08-10 12:30:00,2026-08-10 13:30:00,2026-08-10 19:09:24,completed,149.3,9.56,12.54,12.5,4,89.9,High,0
FLT-RES-0049,FLT-V-009,Bus,2026-08-10 14:00:00,2026-08-10 14:30:00,2026-08-10 15:30:00,2026-08-10 20:23:12,completed,301.7,48.88,64.48,12.5,10,819.6,Low,1
FLT-RES-0050,FLT-V-010,Van,2026-08-10 16:00:00,2026-08-10 16:30:00,2026-08-10 17:30:00,2026-08-10 20:00:12,completed,110.6,10.29,16.27,12.5,12,279.8,High,1
FLT-RES-0051,FLT-V-011,Car,2026-08-11 08:00:00,2026-08-11 08:30:00,2026-08-11 09:30:00,2026-08-11 14:11:18,completed,284.6,21.63,24.49,12.5,3,477.4,Low,0
FLT-RES-0052,FLT-V-012,Van,2026-08-11 10:00:00,2026-08-11 10:30:00,2026-08-11 11:30:00,2026-08-11 20:00:36,completed,337.2,39.79,48.0,12.5,2,143.9,Low,1
FLT-RES-0053,FLT-V-013,Bus,2026-08-11 12:00:00,2026-08-11 12:30:00,2026-08-11 13:30:00,2026-08-11 20:26:48,completed,305.3,52.21,72.26,12.5,18,407.0,High,0
FLT-RES-0054,FLT-V-014,Car,2026-08-11 14:00:00,2026-08-11 14:30:00,2026-08-11 15:30:00,2026-08-12 04:37:30,completed,399.8,33.98,54.21,12.5,5,179.3,High,1
FLT-RES-0055,FLT-V-015,Bus,2026-08-11 16:00:00,2026-08-11 16:30:00,2026-08-11 17:30:00,2026-08-12 04:35:24,completed,441.5,71.08,99.29,12.5,21,443.2,Medium,0
FLT-RES-0056,FLT-V-016,Bus,2026-08-12 08:00:00,2026-08-12 08:30:00,2026-08-12 09:30:00,2026-08-12 20:18:18,completed,355.2,47.6,63.05,12.5,18,264.4,Low,1
FLT-RES-0057,FLT-V-017,Bus,2026-08-12 10:00:00,2026-08-12 10:30:00,2026-08-12 11:30:00,2026-08-12 14:32:48,completed,164.4,22.69,29.78,12.5,1,225.6,Low,1
FLT-RES-0058,FLT-V-018,Bus,2026-08-12 12:00:00,2026-08-12 12:30:00,2026-08-12 13:30:00,2026-08-12 16:10:36,completed,139.2,22.97,29.13,12.5,31,1019.8,Medium,1
FLT-RES-0059,FLT-V-019,Car,2026-08-12 14:00:00,2026-08-12 14:30:00,2026-08-12 15:30:00,2026-08-12 19:35:06,completed,206.9,14.48,21.27,12.5,1,514.6,High,1
FLT-RES-0060,FLT-V-020,Bus,2026-08-12 16:00:00,2026-08-12 16:30:00,2026-08-12 17:30:00,2026-08-13 01:27:36,completed,429.3,68.69,82.07,12.5,3,1001.5,Low,0
FLT-RES-0061,FLT-V-001,Bus,2026-08-13 08:00:00,2026-08-13 08:30:00,2026-08-13 09:30:00,2026-08-13 18:06:36,completed,435.9,69.31,,12.5,17,271.0,High,0
FLT-RES-0062,FLT-V-002,Car,2026-08-13 10:00:00,2026-08-13 10:30:00,2026-08-13 11:30:00,2026-08-13 12:22:54,completed,17.9,1.34,1.68,12.5,3,223.6,Low,1
FLT-RES-0063,FLT-V-003,Van,2026-08-13 12:00:00,2026-08-13 12:30:00,2026-08-13 13:30:00,2026-08-13 20:33:30,completed,350.7,34.72,44.17,12.5,1,156.9,High,0
FLT-RES-0064,FLT-V-004,Car,2026-08-13 14:00:00,2026-08-13 14:30:00,2026-08-13 15:30:00,2026-08-13 19:37:48,completed,221.6,15.73,17.08,12.5,4,492.5,Low,0
FLT-RES-0065,FLT-V-005,Car,2026-08-13 16:00:00,2026-08-13 16:30:00,2026-08-13 17:30:00,2026-08-14 00:39:42,completed,242.0,19.12,26.38,12.5,3,47.4,High,1
FLT-RES-0066,FLT-V-006,Bus,2026-08-14 08:00:00,2026-08-14 08:30:00,2026-08-14 09:30:00,2026-08-14 10:58:48,completed,81.5,12.22,14.85,12.5,24,124.0,Low,1
FLT-RES-0067,FLT-V-007,Van,2026-08-14 10:00:00,2026-08-14 10:30:00,2026-08-14 11:30:00,2026-08-14 13:15:12,completed,91.3,9.59,9.9,12.5,3,180.7,Low,0
FLT-RES-0068,FLT-V-008,Van,2026-08-14 12:00:00,2026-08-14 12:30:00,2026-08-14 13:30:00,2026-08-14 15:52:54,completed,148.8,16.67,20.9,12.5,8,93.7,Medium,1
FLT-RES-0069,FLT-V-009,Car,2026-08-14 14:00:00,2026-08-14 14:30:00,2026-08-14 15:30:00,2026-08-14 20:50:48,completed,230.6,14.3,21.28,12.5,1,190.9,High,1
FLT-RES-0070,FLT-V-010,Bus,2026-08-14 16:00:00,2026-08-14 16:30:00,2026-08-14 17:30:00,2026-08-14 22:16:36,completed,238.2,31.68,35.34,12.5,10,477.2,Medium,1
FLT-RES-0071,FLT-V-011,Car,2026-08-15 08:00:00,2026-08-15 08:30:00,2026-08-15 09:30:00,2026-08-15 17:27:54,completed,435.6,32.67,42.97,12.5,1,137.6,Medium,0
FLT-RES-0072,FLT-V-012,Van,2026-08-15 10:00:00,2026-08-15 10:30:00,2026-08-15 11:30:00,2026-08-15 12:56:24,completed,90.4,8.77,11.24,12.5,5,594.2,Low,1
FLT-RES-0073,FLT-V-013,Bus,2026-08-15 12:00:00,2026-08-15 12:30:00,2026-08-15 13:30:00,2026-08-15 22:12:54,completed,436.5,58.05,68.86,12.5,29,296.1,Low,1
FLT-RES-0074,FLT-V-014,Bus,2026-08-15 14:00:00,2026-08-15 14:30:00,2026-08-15 15:30:00,2026-08-16 06:10:18,completed,393.5,77.91,85.79,12.5,24,674.4,Low,1
FLT-RES-0075,FLT-V-015,Car,2026-08-15 16:00:00,2026-08-15 16:30:00,2026-08-15 17:30:00,2026-08-15 22:04:54,completed,181.4,14.87,18.53,12.5,1,162.5,Low,0
FLT-RES-0076,FLT-V-016,Bus,2026-08-16 08:00:00,2026-08-16 08:30:00,2026-08-16 09:30:00,2026-08-16 11:42:42,completed,118.9,19.14,20.75,12.5,39,642.8,Low,0
FLT-RES-0077,FLT-V-017,Car,2026-08-16 10:00:00,2026-08-16 10:30:00,2026-08-16 11:30:00,2026-08-16 16:15:18,completed,260.9,19.57,22.78,12.5,1,253.6,Low,0
FLT-RES-0078,FLT-V-018,Bus,2026-08-16 12:00:00,2026-08-16 12:30:00,2026-08-16 13:30:00,2026-08-17 01:43:00,completed,441.6,69.33,89.13,12.5,3,426.9,High,1
FLT-RES-0079,FLT-V-019,Van,2026-08-16 14:00:00,2026-08-16 14:30:00,2026-08-16 15:30:00,2026-08-16 16:32:36,completed,21.5,2.37,3.34,12.5,1,234.6,Medium,1
FLT-RES-0080,FLT-V-020,Van,2026-08-16 16:00:00,2026-08-16 16:30:00,2026-08-16 17:30:00,2026-08-17 03:29:48,completed,403.1,47.16,56.66,12.5,8,629.0,Medium,0
FLT-RES-0081,FLT-V-001,Car,2026-08-17 08:00:00,2026-08-17 08:30:00,2026-08-17 09:30:00,2026-08-17 11:31:48,completed,79.2,5.39,,12.5,3,376.6,Medium,0
FLT-RES-0082,FLT-V-002,Car,2026-08-17 10:00:00,2026-08-17 10:30:00,2026-08-17 11:30:00,2026-08-17 14:03:00,completed,166.2,10.14,14.17,12.5,2,278.0,Medium,1
FLT-RES-0083,FLT-V-003,Car,2026-08-17 12:00:00,2026-08-17 12:30:00,2026-08-17 13:30:00,2026-08-18 03:29:12,completed,411.5,32.1,41.76,12.5,4,123.0,High,1
FLT-RES-0084,FLT-V-004,Bus,2026-08-17 14:00:00,2026-08-17 14:30:00,2026-08-17 15:30:00,2026-08-17 22:13:24,completed,401.6,72.29,75.67,12.5,30,846.3,Low,0
FLT-RES-0085,FLT-V-005,Van,2026-08-17 16:00:00,2026-08-17 16:30:00,2026-08-17 17:30:00,2026-08-18 08:00:06,completed,398.5,41.44,62.12,12.5,12,796.4,High,1
FLT-RES-0086,FLT-V-006,Bus,2026-08-18 08:00:00,2026-08-18 08:30:00,2026-08-18 09:30:00,2026-08-18 11:01:12,completed,86.0,11.95,13.96,12.5,30,1044.5,Low,1
FLT-RES-0087,FLT-V-007,Car,2026-08-18 10:00:00,2026-08-18 10:30:00,2026-08-18 11:30:00,2026-08-18 17:00:00,completed,283.1,21.52,32.25,12.5,2,363.2,High,0
FLT-RES-0088,FLT-V-008,Car,2026-08-18 12:00:00,2026-08-18 12:30:00,2026-08-18 13:30:00,2026-08-18 21:45:54,completed,346.3,29.09,46.59,12.5,4,535.6,High,1
FLT-RES-0089,FLT-V-009,Car,2026-08-18 14:00:00,2026-08-18 14:30:00,2026-08-18 15:30:00,2026-08-18 22:55:18,completed,275.0,19.25,22.67,12.5,3,488.2,Low,0
FLT-RES-0090,FLT-V-010,Car,2026-08-18 16:00:00,2026-08-18 16:30:00,2026-08-18 17:30:00,2026-08-18 23:21:36,completed,367.0,30.09,45.77,12.5,2,386.3,Medium,1
FLT-RES-0091,FLT-V-011,Car,2026-08-19 08:00:00,2026-08-19 08:30:00,2026-08-19 09:30:00,2026-08-19 17:05:00,completed,397.6,24.25,30.14,12.5,5,23.9,Low,0
FLT-RES-0092,FLT-V-012,Bus,2026-08-19 10:00:00,2026-08-19 10:30:00,2026-08-19 11:30:00,2026-08-19 15:33:42,completed,229.4,35.56,42.86,12.5,20,822.9,Low,0
FLT-RES-0093,FLT-V-013,Car,2026-08-19 12:00:00,2026-08-19 12:30:00,2026-08-19 13:30:00,2026-08-19 21:08:48,completed,362.8,22.13,29.9,12.5,2,144.6,High,0
FLT-RES-0094,FLT-V-014,Bus,2026-08-19 14:00:00,2026-08-19 14:30:00,2026-08-19 15:30:00,2026-08-19 20:14:18,completed,304.8,49.68,71.2,12.5,26,1080.5,High,1
FLT-RES-0095,FLT-V-015,Car,2026-08-19 16:00:00,2026-08-19 16:30:00,2026-08-19 17:30:00,2026-08-20 07:51:00,completed,427.0,34.59,47.44,12.5,3,179.1,Medium,1
FLT-RES-0096,FLT-V-016,Car,2026-08-20 08:00:00,2026-08-20 08:30:00,2026-08-20 09:30:00,2026-08-20 14:22:24,completed,144.6,12.29,16.78,12.5,3,282.2,High,1
FLT-RES-0097,FLT-V-017,Bus,2026-08-20 10:00:00,2026-08-20 10:30:00,2026-08-20 11:30:00,2026-08-20 14:25:48,completed,133.1,20.23,23.8,12.5,26,985.7,Low,0
FLT-RES-0098,FLT-V-018,Bus,2026-08-20 12:00:00,2026-08-20 12:30:00,2026-08-20 13:30:00,2026-08-20 23:56:12,completed,314.8,45.33,48.53,12.5,19,302.4,Low,0
FLT-RES-0099,FLT-V-019,Bus,2026-08-20 14:00:00,2026-08-20 14:30:00,2026-08-20 15:30:00,2026-08-21 00:42:12,completed,341.4,60.09,70.39,12.5,4,1091.4,Low,0
FLT-RES-0100,FLT-V-020,Van,2026-08-20 16:00:00,2026-08-20 16:30:00,2026-08-20 17:30:00,2026-08-20 21:48:48,completed,273.2,32.78,50.34,12.5,8,692.6,High,0
FLT-RES-0101,FLT-V-001,Bus,2026-08-21 08:00:00,2026-08-21 08:30:00,2026-08-21 09:30:00,2026-08-21 16:57:36,completed,356.9,64.24,,12.5,6,740.9,High,1
FLT-RES-0102,FLT-V-002,Van,2026-08-21 10:00:00,2026-08-21 10:30:00,2026-08-21 11:30:00,2026-08-21 23:00:54,completed,429.5,40.8,51.37,12.5,1,197.9,Medium,0
FLT-RES-0103,FLT-V-003,Van,2026-08-21 12:00:00,2026-08-21 12:30:00,2026-08-21 13:30:00,2026-08-21 15:18:00,completed,103.3,11.47,18.47,12.5,8,678.0,High,1
FLT-RES-0104,FLT-V-004,Car,2026-08-21 14:00:00,2026-08-21 14:30:00,2026-08-21 15:30:00,2026-08-21 21:21:48,completed,373.8,23.18,32.21,12.5,5,106.9,Medium,0
FLT-RES-0105,FLT-V-005,Car,2026-08-21 16:00:00,2026-08-21 16:30:00,2026-08-21 17:30:00,2026-08-21 22:18:06,completed,253.7,18.52,21.04,12.5,1,210.1,Low,0
FLT-RES-0106,FLT-V-006,Van,2026-08-22 08:00:00,2026-08-22 08:30:00,2026-08-22 09:30:00,2026-08-22 12:24:18,completed,171.6,17.33,26.53,12.5,7,275.4,High,1
FLT-RES-0107,FLT-V-007,Car,2026-08-22 10:00:00,2026-08-22 10:30:00,2026-08-22 11:30:00,2026-08-22 16:41:36,completed,173.8,13.38,17.32,12.5,2,179.9,High,0
FLT-RES-0108,FLT-V-008,Bus,2026-08-22 12:00:00,2026-08-22 12:30:00,2026-08-22 13:30:00,2026-08-22 21:26:30,completed,334.5,57.53,75.05,12.5,14,910.2,Low,1
FLT-RES-0109,FLT-V-009,Car,2026-08-22 14:00:00,2026-08-22 14:30:00,2026-08-22 15:30:00,2026-08-22 20:58:42,completed,138.7,11.79,17.44,12.5,2,383.1,Medium,0
FLT-RES-0110,FLT-V-010,Van,2026-08-22 16:00:00,2026-08-22 16:30:00,2026-08-22 17:30:00,2026-08-22 21:08:00,completed,112.2,10.88,13.78,12.5,3,567.9,Low,1
FLT-RES-0111,FLT-V-011,Car,2026-08-23 08:00:00,2026-08-23 08:30:00,2026-08-23 09:30:00,2026-08-23 12:05:06,completed,124.5,7.72,12.02,12.5,1,129.1,High,1
FLT-RES-0112,FLT-V-012,Car,2026-08-23 10:00:00,2026-08-23 10:30:00,2026-08-23 11:30:00,2026-08-23 16:47:30,completed,181.5,15.06,21.62,12.5,3,240.8,High,1
FLT-RES-0113,FLT-V-013,Car,2026-08-23 12:00:00,2026-08-23 12:30:00,2026-08-23 13:30:00,2026-08-23 14:04:18,completed,12.2,0.85,1.03,12.5,4,191.2,Low,0
FLT-RES-0114,FLT-V-014,Van,2026-08-23 14:00:00,2026-08-23 14:30:00,2026-08-23 15:30:00,2026-08-23 17:01:00,completed,67.3,6.93,8.73,12.5,9,1089.5,Low,0
FLT-RES-0115,FLT-V-015,Car,2026-08-23 16:00:00,2026-08-23 16:30:00,2026-08-23 17:30:00,2026-08-23 22:55:42,completed,279.9,18.19,21.95,12.5,4,336.5,Low,1
FLT-RES-0116,FLT-V-016,Bus,2026-08-24 08:00:00,2026-08-24 08:30:00,2026-08-24 09:30:00,2026-08-24 16:29:36,completed,238.4,44.34,59.45,12.5,17,982.0,Medium,0
FLT-RES-0117,FLT-V-017,Bus,2026-08-24 10:00:00,2026-08-24 10:30:00,2026-08-24 11:30:00,2026-08-24 15:55:00,completed,216.8,29.7,39.84,12.5,3,609.8,Medium,0
FLT-RES-0118,FLT-V-018,Van,2026-08-24 12:00:00,2026-08-24 12:30:00,2026-08-24 13:30:00,2026-08-24 23:37:48,completed,255.8,31.21,37.43,12.5,6,36.9,Low,1
FLT-RES-0119,FLT-V-019,Bus,2026-08-24 14:00:00,2026-08-24 14:30:00,2026-08-24 15:30:00,2026-08-24 18:55:00,completed,227.9,41.71,51.84,12.5,28,293.9,Low,1
FLT-RES-0120,FLT-V-020,Car,2026-08-24 16:00:00,2026-08-24 16:30:00,2026-08-24 17:30:00,2026-08-24 18:43:54,completed,43.1,3.06,3.55,12.5,1,67.6,Low,0
FLT-RES-0121,FLT-V-001,Van,2026-08-25 08:00:00,2026-08-25 08:30:00,2026-08-25 09:30:00,2026-08-25 14:53:18,completed,252.9,22.76,,12.5,2,260.7,Low,1
FLT-RES-0122,FLT-V-002,Bus,2026-08-25 10:00:00,2026-08-25 10:30:00,2026-08-25 11:30:00,2026-08-25 14:33:18,completed,139.0,24.74,33.8,12.5,14,345.6,Medium,0
FLT-RES-0123,FLT-V-003,Car,2026-08-25 12:00:00,2026-08-25 12:30:00,2026-08-25 13:30:00,2026-08-25 16:29:42,completed,174.1,10.45,16.81,12.5,4,411.4,High,1
FLT-RES-0124,FLT-V-004,Van,2026-08-25 14:00:00,2026-08-25 14:30:00,2026-08-25 15:30:00,2026-08-25 17:53:00,completed,129.7,16.08,22.3,12.5,10,155.9,High,0
FLT-RES-0125,FLT-V-005,Car,2026-08-25 16:00:00,2026-08-25 16:30:00,2026-08-25 17:30:00,2026-08-25 23:07:30,completed,298.1,18.78,31.01,12.5,1,235.6,High,1
FLT-RES-0126,FLT-V-006,Bus,2026-08-26 08:00:00,2026-08-26 08:30:00,2026-08-26 09:30:00,2026-08-26 11:19:12,completed,79.0,10.9,13.56,12.5,13,1160.8,Medium,0
FLT-RES-0127,FLT-V-007,Bus,2026-08-26 10:00:00,2026-08-26 10:30:00,2026-08-26 11:30:00,2026-08-26 13:40:24,completed,136.5,21.02,27.27,12.5,5,431.0,Medium,0
FLT-RES-0128,FLT-V-008,Van,2026-08-26 12:00:00,2026-08-26 12:30:00,2026-08-26 13:30:00,2026-08-26 20:56:06,completed,382.9,33.31,48.71,12.5,3,1024.3,High,0
FLT-RES-0129,FLT-V-009,Bus,2026-08-26 14:00:00,2026-08-26 14:30:00,2026-08-26 15:30:00,2026-08-26 20:55:00,completed,333.1,58.29,82.9,12.5,14,478.8,High,0
FLT-RES-0130,FLT-V-010,Van,2026-08-26 16:00:00,2026-08-26 16:30:00,2026-08-26 17:30:00,2026-08-26 22:17:36,completed,239.8,24.7,31.53,12.5,10,365.4,Low,1
FLT-RES-0131,FLT-V-011,Bus,2026-08-27 08:00:00,2026-08-27 08:30:00,2026-08-27 09:30:00,2026-08-27 15:12:06,completed,171.1,23.61,30.65,12.5,20,182.7,Medium,0
FLT-RES-0132,FLT-V-012,Car,2026-08-27 10:00:00,2026-08-27 10:30:00,2026-08-27 11:30:00,2026-08-27 20:49:18,completed,428.6,34.72,55.7,12.5,4,579.0,High,1
FLT-RES-0133,FLT-V-013,Car,2026-08-27 12:00:00,2026-08-27 12:30:00,2026-08-27 13:30:00,2026-08-27 15:38:42,completed,79.9,4.87,6.29,12.5,4,228.9,Low,1
